Object,Filter,MJD,Flux,Error
Mrk142,W2,58484.349,6.645,0.162
Mrk142,W2,58484.816,6.41,0.16
Mrk142,W2,58485.14,6.64,0.15
Mrk142,W2,58485.935,6.123,0.156
Mrk142,W2,58486.067,6.732,0.153
Mrk142,W2,58487.723,6.034,0.14
Mrk142,W2,58488.194,6.488,0.147
Mrk142,W2,58488.794,6.623,0.152
Mrk142,W2,58490.717,6.2,0.148
Mrk142,W2,58491.044,6.333,0.149
Mrk142,W2,58491.642,6.17,0.147
Mrk142,W2,58492.04,5.962,0.143
Mrk142,W2,58492.634,5.756,0.143
Mrk142,W2,58493.232,5.951,0.148
Mrk142,W2,58493.975,5.673,0.139
Mrk142,W2,58494.294,5.931,0.149
Mrk142,W2,58495.031,5.878,0.14
Mrk142,W2,58496.219,6.536,0.163
Mrk142,W2,58496.818,6.455,0.151
Mrk142,W2,58497.813,6.48,0.155
Mrk142,W2,58498.277,6.241,0.159
Mrk142,W2,58498.876,6.549,0.15
Mrk142,W2,58499.871,6.721,0.15
Mrk142,W2,58500.204,6.763,0.157
Mrk142,W2,58500.676,6.77,0.149
Mrk142,W2,58501.066,6.684,0.153
Mrk142,W2,58501.67,6.638,0.151
Mrk142,W2,58502.062,6.439,0.15
Mrk142,W2,58503.057,6.669,0.157
Mrk142,W2,58503.788,6.209,0.149
Mrk142,W2,58504.253,6.661,0.152
Mrk142,W2,58505.912,6.721,0.152
Mrk142,W2,58506.311,6.526,0.149
Mrk142,W2,58507.375,6.54,0.153
Mrk142,W2,58507.838,6.674,0.155
Mrk142,W2,58508.241,7.169,0.176
Mrk142,W2,58508.845,7.7,0.169
Mrk142,W2,58509.236,7.945,0.171
Mrk142,W2,58509.778,7.726,0.17
Mrk142,W2,58510.836,8.172,0.173
Mrk142,W2,58511.226,7.938,0.172
Mrk142,W2,58511.768,8.374,0.181
Mrk142,W2,58512.426,7.876,0.171
Mrk142,W2,58512.895,7.63,0.167
Mrk142,W2,58513.028,7.586,0.214
Mrk142,W2,58513.751,7.501,0.17
Mrk142,W2,58514.345,7.095,0.162
Mrk142,W2,58516.339,6.694,0.151
Mrk142,W2,58516.88,7.026,0.156
Mrk142,W2,58518.333,7.25,0.16
Mrk142,W2,58518.807,7.161,0.161
Mrk142,W2,58519.395,7.378,0.157
Mrk142,W2,58519.86,7.564,0.17
Mrk142,W2,58520.392,7.885,0.162
Mrk142,W2,58520.858,7.622,0.166
Mrk142,W2,58521.394,7.6,0.162
Mrk142,W2,58521.789,7.456,0.164
Mrk142,W2,58522.389,7.657,0.161
Mrk142,W2,58523.385,7.343,0.154
Mrk142,W2,58523.717,7.793,0.168
Mrk142,W2,58524.382,7.952,0.166
Mrk142,W2,58524.714,8.161,0.175
Mrk142,W2,58525.445,8.105,0.173
Mrk142,W2,58525.644,8.241,0.173
Mrk142,W2,58527.372,9.036,0.18
Mrk142,W2,58527.704,8.799,0.178
Mrk142,W2,58528.181,8.879,0.199
Mrk142,W2,58528.834,8.232,0.182
Mrk142,W2,58529.97,7.741,0.182
Mrk142,W2,58530.758,7.674,0.161
Mrk142,W2,58531.497,7.841,0.152
Mrk142,W2,58531.753,7.858,0.168
Mrk142,W2,58532.753,8.246,0.185
Mrk142,W2,58533.022,7.322,0.157
Mrk142,W2,58534.083,7.59,0.229
Mrk142,W2,58534.346,7.673,0.223
Mrk142,W2,58534.742,7.79,0.165
Mrk142,W2,58535.206,7.75,0.168
