Object,Filter,Cadence,MJD,Duration,Flux,Error
Mrk509,U,1001,57829.85352,80.77200001,3.0576016,0.05590799
Mrk509,B,1001,57829.85451,80.77197999,1.6550446,0.030871024
Mrk509,HX,1001,57829.85584,990.3840192,0.92374,0.081384
Mrk509,SX,1001,57829.85584,990.3840192,1.376457,0.099314
Mrk509,W2,1001,57829.85692,323.78302,5.930188,0.073019095
Mrk509,V,1001,57829.85931,80.77197999,1.2636463,0.030175318
Mrk509,M2,1001,57829.8612,237.32908,5.1095413,0.075946313
Mrk509,W1,1002,57830.90839,155.75174,4.5266376,0.066332145
Mrk509,U,1002,57830.90979,77.77105999,3.1941118,0.059273825
Mrk509,B,1002,57830.91074,77.77103996,1.7460251,0.032635396
Mrk509,HX,1002,57830.91249,1038.022042,0.811505,0.049765
Mrk509,SX,1002,57830.91249,1038.022042,1.231118,0.061188
Mrk509,W2,1002,57830.91307,312.77226,5.9890454,0.07412898
Mrk509,V,1002,57830.91539,77.78207999,1.2902845,0.030830798
Mrk509,M2,1002,57830.91769,312.75022,5.165189,0.071372854
Mrk509,W1,1003,57831.17358,193.7712,4.3771275,0.060578123
Mrk509,U,1003,57831.17531,96.78078002,3.091038,0.05330565
Mrk509,B,1003,57831.17649,96.75871998,1.6980336,0.02942566
Mrk509,HX,1003,57831.17831,1185.951974,0.923767,0.054183
Mrk509,SX,1003,57831.17831,1185.951974,1.416975,0.067082
Mrk509,W2,1003,57831.17936,387.76304,5.906524,0.070040403
Mrk509,V,1003,57831.18223,96.76973999,1.2425699,0.027700923
Mrk509,M2,1003,57831.1845,288.2461,5.0673102,0.07169131
Mrk509,W1,1004,57832.76854,165.75858,4.49359,0.064764203
Mrk509,U,1004,57832.77003,82.78000003,3.132302,0.056747406
Mrk509,B,1004,57832.77104,82.76896,1.7326117,0.03163371
Mrk509,HX,1004,57832.77239,1007.933933,1.048622,0.062447
Mrk509,SX,1004,57832.77239,1007.933933,1.68223,0.078993
Mrk509,W2,1004,57832.7735,331.77092,5.902464,0.07232562
Mrk509,V,1004,57832.77596,82.77999997,1.2482609,0.029460248
Mrk509,M2,1004,57832.77786,236.64506,5.1064615,0.07600682
Mrk509,W1,1005,57833.03449,173.7685,4.5774108,0.06491751
Mrk509,U,1005,57833.03605,86.77392,3.1470062,0.05616821
Mrk509,B,1005,57833.03711,86.77389997,1.67436,0.030169567
Mrk509,HX,1005,57833.03869,1073.123942,0.965765,0.080802
Mrk509,SX,1005,57833.03869,1073.123942,1.79754,0.110131
Mrk509,W2,1005,57833.03969,346.77572,5.863059,0.071202495
Mrk509,V,1005,57833.04226,86.77392,1.2883654,0.02948551
Mrk509,M2,1005,57833.04435,265.8271599,5.076365,0.07328656
Mrk509,W1,1006,57834.10398,161.7757,4.4996315,0.06524864
Mrk509,U,1006,57834.10544,80.78302002,3.0382767,0.05546082
Mrk509,B,1006,57834.10643,80.77202004,1.7108844,0.031469394
Mrk509,HX,1006,57834.10784,1002.919968,1.169603,0.080778
Mrk509,SX,1006,57834.10784,1002.919968,1.809372,0.100366
Mrk509,W2,1006,57834.10884,323.77204,5.907309,0.0726821
Mrk509,V,1006,57834.11123,80.77201998,1.3045715,0.03041711
Mrk509,M2,1006,57834.1132,250.01698,5.244857,0.07646056
Mrk509,W1,1007,57837.95348,161.76468,4.4456287,0.06463546
Mrk509,U,1007,57837.95494,80.77200001,3.0638432,0.055819667
Mrk509,B,1007,57837.95592,80.78303999,1.6854307,0.030925753
Mrk509,HX,1007,57837.95714,967.8180672,1.107343,0.059442
Mrk509,SX,1007,57837.95714,967.8180672,1.783004,0.075309
