Object,Filter,Cadence,MJD,Duration,Flux,Error
NGC4593,U,4001,57582.7801,35.7687,1.0976204,0.031726908
NGC4593,HX,4001,57582.78057,438.77808,0.711616,0.078928
NGC4593,SX,4001,57582.78057,438.77808,0.780595,0.082741
NGC4593,B,4001,57582.78057,35.77976,1.1207225,0.03176888
NGC4593,V,4001,57582.78277,35.76872003,1.27838354,0.04213841
NGC4593,U,4002,57582.84627,57.77939999,1.0472809,0.025245761
NGC4593,B,4002,57582.84699,57.77937996,1.1203103,0.02584964
NGC4593,HX,4002,57582.84771,717.088032,0.65222,0.053618
NGC4593,SX,4002,57582.84771,717.088032,0.739155,0.057008
NGC4593,W1,4003,57582.91379,114.76442,1.38177,0.030478352
NGC4593,U,4003,57582.91484,57.76836002,1.2095864,0.027687763
NGC4593,B,4003,57582.91556,57.76833999,1.1569124,0.026003308
NGC4593,HX,4003,57582.91638,732.132,0.575691,0.04976
NGC4593,SX,4003,57582.91638,732.132,0.770787,0.057544
NGC4593,W2,4003,57582.9173,230.76452,1.4760969,0.027603496
NGC4593,V,4003,57582.91902,57.76836002,1.3432696,0.035075296
NGC4593,M2,4003,57582.92049,188.91666,1.4711573,0.033724564
NGC4593,U,4004,57582.98388,67.77522004,1.1390124,0.02481502
NGC4593,B,4004,57582.98472,67.78624004,1.1752418,0.024450093
NGC4593,HX,4004,57582.98581,854.9900352,0.491734,0.042925
NGC4593,SX,4004,57582.98581,854.9900352,0.680724,0.050423
NGC4593,V,4004,57582.98878,67.76418,1.3330154,0.032761262
NGC4593,W1,4005,57583.0459,150.7537799,1.3859309,0.027413562
NGC4593,U,4005,57583.04726,74.7701,1.1472026,0.024193736
NGC4593,B,4005,57583.04818,74.78114003,1.1505063,0.02334681
NGC4593,HX,4005,57583.04934,915.1640064,0.490716,0.041111
NGC4593,SX,4005,57583.04934,915.1640064,0.581095,0.044747
NGC4593,W2,4005,57583.05043,301.76134,1.39597586,0.02413791
NGC4593,V,4005,57583.05266,74.75904,1.41370426,0.032811232
NGC4593,M2,4005,57583.05438,213.7297,1.2900399,0.029561646
NGC4593,U,4006,57583.11462,74.7701,1.12629835,0.02382951
NGC4593,B,4006,57583.11549,65.98786002,1.1336554,0.024205285
NGC4593,W1,4007,57583.178,170.76752,1.40261626,0.02636225
NGC4593,HX,4007,57583.17905,524.0260224,0.37239,0.044298
NGC4593,SX,4007,57583.17905,524.0260224,0.497354,0.051153
NGC4593,U,4007,57583.17953,84.78799999,1.11555815,0.022680652
NGC4593,B,4007,57583.18057,84.76592004,1.1337829,0.02206351
NGC4593,W2,4007,57583.18214,175.29102,1.3599366,0.029260642
NGC4593,W1,4008,57583.24466,170.76756,1.3736487,0.026047295
NGC4593,U,4008,57583.24619,84.77693999,1.1150838,0.022662872
NGC4593,B,4008,57583.24723,84.73284,1.1515783,0.022260764
NGC4593,HX,4008,57583.24867,1033.008077,0.399119,0.027928
NGC4593,SX,4008,57583.24867,1033.008077,0.520786,0.03191
NGC4593,W2,4008,57583.24977,341.77782,1.3443594,0.022515332
